번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
163,구이류,"꼬치구이, 닭살",70,176.72,13.35,11.56,8.57,3.15,286.91,31.44,2.32,0.04
164,구이류,햄버그스테이크,200,457.7,20.76,26.96,29.65,5.33,950.22,70.28,9.41,0.31
165,구이류,훈제오리,250,797.14,12.08,43.06,64.06,0.27,1220.37,171,15.98,0.39
166,구이류,소불고기,200,176.71,18.3,12.75,5.83,3.36,892.09,41.41,1.55,0.16
167,전/ 적 및 부침류,김치전,150,282.27,34.49,7.1,12.88,1.55,686.94,28.52,2.23,0.08
168,전/ 적 및 부침류,깻잎전,150,361.1,14.54,17.74,25.78,1.06,480.15,131.8,5.43,0.15
169,전/ 적 및 부침류,버섯전,150,240,16.2,10.5,14.85,2.7,313.75,100.1,2.25,0
170,전/ 적 및 부침류,부추전,150,253.5,37.35,5.7,9,1.35,249.44,9.27,1.35,0
171,전/ 적 및 부침류,고추전,150,274.69,17.01,12.91,17.22,2.17,362.2,78.81,3.52,0.09
172,전/ 적 및 부침류,호박전,150,208.5,16.05,6.45,13.05,2.85,276.96,92.52,2.4,0
173,전/ 적 및 부침류,배추전,150,240,35.55,5.1,8.7,4.95,326.82,7.23,1.35,0.15
174,전/ 적 및 부침류,미나리전     ,150,226.5,34.2,5.25,7.65,1.8,248.7,11.88,1.2,0
175,전/ 적 및 부침류,녹두빈대떡,100,207.94,20.93,7.94,10.27,0.1,232.05,12.48,2.26,0.06
176,전/ 적 및 부침류,쇠고기산적,200,454,7.4,48.4,25.6,0,1392.84,134.84,7,0.8
177,전/ 적 및 부침류,화양적,150,272.65,21.35,13.58,14.77,1.21,797.03,123.25,3.82,0.1
178,전/ 적 및 부침류,계적        ,250,487.5,0,57.75,30.5,0,210.1,169.2,8,0.25
179,전/ 적 및 부침류,돔베기적     ,100,159,0,30.1,7.4,0,451.25,64.23,0.6,0
180,전/ 적 및 부침류,소라산적     ,80,120,6.48,17.92,2.48,0.88,396.67,100.34,0.4,0
181,전/ 적 및 부침류,오징어산적   ,80,101.6,3.6,17.36,2,0.88,477.1,234.25,0.24,0
182,전/ 적 및 부침류,홍어적       ,100,89,0,23.6,0.7,0.3,323.53,96.77,0.1,0
183,전/ 적 및 부침류,홍합산적     ,80,156.8,10.56,17.76,4.8,3.36,719.72,60.71,0.8,0.08
184,전/ 적 및 부침류,두부전,150,255,7.5,20.4,15.9,0,317.16,3.28,1.95,0
185,전/ 적 및 부침류,동태전,150,268.05,10.54,22.64,15.04,0.22,702.16,178.76,3.16,0.09
186,전/ 적 및 부침류,가자미전     ,150,231,6.9,25.8,11.1,0.3,819.36,176.26,2.25,0
187,전/ 적 및 부침류,파전,150,292.8,34.81,6.83,14.03,0.79,345.96,46.14,2.26,0.07
188,전/ 적 및 부침류,해물파전,150,276.18,30.07,11.04,12.42,0.42,366.82,105.85,2.13,0.06
189,전/ 적 및 부침류,떡갈비,250,761.67,23.57,50.76,51.59,12.09,827.36,107.38,19.52,0.97
190,전/ 적 및 부침류,동그랑땡,150,309.2,12.68,19.62,20,0.98,553.09,103.27,4.66,0.12
191,전/ 적 및 부침류,낙지꼬지     ,80,75.2,2.8,13.12,1.28,0,207.06,133.74,0.16,0
192,볶음류,건새우볶음,20,65.73,5.71,4.67,2.69,2.6,196.24,33.45,0.4,0.02
193,볶음류,두부김치,250,288.21,14.08,19.46,17.12,1.49,989.69,13.92,3.17,0.08
194,볶음류,낙지볶음,200,186.83,21.67,14.89,4.51,7.56,895.12,118.31,0.89,0.04
195,볶음류,돼지고기볶음,200,350.67,18.21,22.96,20.67,8.2,1051.76,57.87,5.12,0.15
196,볶음류,마파두부,200,227.93,10.73,15.26,13.77,0.29,691.4,24.58,2.77,0.08
197,볶음류,떡볶이,200,303.53,60.48,7.61,3.46,6.83,853.08,7.49,0.75,0
198,볶음류,라볶이,200,268.82,49.4,6.93,4.83,6.96,871.45,25.67,2,0.02
199,볶음류,"멸치볶음, 풋고추",20,52.38,3.41,4.65,2.24,1.43,275.54,36.6,0.39,0.02
200,볶음류,잔멸치볶음,20,68.41,5.25,6.2,2.51,2.56,379.29,49.37,0.47,0.02
201,볶음류,잡채,150,204.32,38.84,2.05,4.53,2.72,658.95,0,0.75,0.04
202,볶음류,고추잡채,200,256.77,26.17,10.99,12.01,2.09,828.55,39.26,2.11,0.08
203,볶음류,팔보채,300,240.74,11.28,25.42,10.44,0.09,1129.3,224.96,1.69,0.04
204,볶음류,오징어채볶음,20,55.49,8.28,3.72,0.83,2.33,232.26,33.22,0.16,0.01
205,볶음류,주꾸미볶음,200,211.41,22.82,18.33,5.2,5.06,918.86,200.76,0.61,0.02
206,조림류,갈치조림,100,97.04,5.3,11,3.54,1.92,486.39,43.56,1,0.02
207,조림류,고등어조림,100,130.16,5.04,10.03,7.77,2.02,474.69,30.02,2.01,0.06
208,조림류,북어조림,100,181.86,17.14,20.83,3.33,8.2,765.95,99.63,0.67,0.05
209,조림류,두부조림,50,69.25,2.86,6.15,3.69,0.25,250.01,0,0.63,0.01
210,조림류,연근조림,30,78.24,18.06,0.63,0.38,7.08,200.37,0.19,0.07,0
211,조림류,우엉조림,30,69.75,15.83,0.78,0.37,7.08,254.75,0.01,0.06,0
212,조림류,돼지고기메추리알장조림,50,63.49,3.37,8.34,1.85,1.27,582.99,47.64,0.44,0
213,조림류,소고기메추리알장조림,50,60.65,2.88,8.14,1.84,0.72,602.12,41.52,0.45,0.02
214,조림류,콩조림(콩자반),20,54.25,7.82,3.87,0.83,2.41,213.38,0,0.17,0
215,조림류,땅콩조림,20,81.34,7.72,3.22,4.17,2.85,150.8,0,0.78,0
216,튀김류,미꾸라지튀김,100,387.49,28.86,10.89,25.39,0.3,324.47,50.15,3.89,0.15
217,튀김류,생선까스,200,653.44,46.56,24.33,41.1,1.96,788.62,72.72,7.96,0.25
218,튀김류,쥐포튀김,100,357,42.5,9.6,16.5,8,717.02,28.7,2.3,0.1
219,튀김류,채소튀김,100,320.66,37.63,3.61,17.3,2.87,278.99,1.87,3.2,0.22
220,튀김류,고구마튀김,100,253,33.8,2.7,11.9,7.7,148.41,20.84,1.7,0.1
221,튀김류,김말이튀김,100,250.65,32.11,2.41,12.51,0.5,392.94,1.42,1.66,0.08
222,튀김류,닭강정,100,310.25,28.42,15.94,14.76,6.56,426.2,51.25,3.18,0.1
223,튀김류,깐풍기,200,588.72,37.78,26.14,37,9.96,657.13,138.85,8.1,0.18
224,튀김류,라조기,200,398.99,26.23,20.66,23.49,0.15,648.52,90.58,5.15,0.15
225,튀김류,치킨까스,200,593,44.02,27.91,33.92,4.15,779.27,72.97,8.42,0.27
226,튀김류,난자완쓰,200,346.25,19.15,21.63,20.35,0.49,703.23,76.76,4.59,0.23
227,튀김류,등심돈가스,200,623.83,38.49,32.99,37.54,3.66,574.08,98.16,9.12,0.26
228,튀김류,안심돈가스,200,651.75,34.25,33.28,42.4,2.77,551.55,105.47,8.55,0.25
229,튀김류,치즈돈가스,250,755.37,41.76,42.02,46.69,3.57,870.77,98.81,13.59,0.44
230,튀김류,새우튀김,100,301.24,26.3,9.05,17.76,0.09,555.81,60.23,3.04,0.2
231,튀김류,오징어튀김,100,308.2,24.29,11.93,18.14,0,360,101.92,2.9,0.18
232,튀김류,탕수육,200,456.72,51.83,17.48,19.94,17.08,442.98,44.01,4.9,0.17
233,나물/숙채류,가지나물,50,23,2.65,0.6,1.1,0.55,152.2,0.49,0.15,0
234,나물/숙채류,고사리나물,50,45.5,3.25,2,2.75,0,257.38,0,0.35,0
235,나물/숙채류,도라지나물,50,56,4.9,0.8,3.65,0,253.14,0,0.45,0
236,나물/숙채류,무나물,50,33,2.65,0.45,2.25,1.2,280.46,0,0.3,0
237,나물/숙채류,미나리나물,50,29.5,2.25,1,1.85,0,150.33,0,0.25,0
238,나물/숙채류,숙주나물,50,20,1.35,1.1,1.15,0,188.35,0,0.1,0
239,나물/숙채류,시금치나물,50,40.5,2,1.95,2.7,0,217.56,0,0.35,0
240,나물/숙채류,시래기나물,50,47.5,2.55,1.5,3.5,0.05,216.81,0,0.4,0
