번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
352,빵 및 과자류,양송이버섯과 치즈를 곁들인 폴렌타,799,484.91,82.54,16.06,11.91,N/A,48.66,N/A,N/A,N/A
353,빵 및 과자류,오븐에 구운 또띠아 칩과 아보카도 딥,80,139.1,24.1,2.5,4.02,N/A,40.27,N/A,N/A,N/A
354,빵 및 과자류,잡곡강정,45,153.4,29.12,5.45,2.43,N/A,9.54,N/A,N/A,N/A
355,빵 및 과자류,잣호두강정,19,93.71,7.94,2.02,6.8,N/A,0.81,N/A,N/A,N/A
356,빵 및 과자류,채소 커리를 곁들인 팬케익,313,253.81,31.64,15.02,7.26,N/A,261.7,N/A,N/A,N/A
357,빵 및 과자류,채소 팬케익,273.21,286.05,38.69,14.07,7.65,N/A,274.41,N/A,N/A,N/A
358,빵 및 과자류,커리향이 들어간 치킨 샐러드 샌드위치,72,193.62,23.32,8.7,7.34,N/A,77.03,N/A,N/A,N/A
359,빵 및 과자류,크로와상 샌드위치,75,137.62,13.5,5.11,7.08,N/A,199.77,N/A,N/A,N/A
360,빵 및 과자류,클럽 샌드위치,110,193.54,22.78,10.59,6.58,N/A,164.7,N/A,N/A,N/A
361,빵 및 과자류,티라미수,56.4,189.86,10.55,1.79,15.59,N/A,39.65,N/A,N/A,N/A
362,빵 및 과자류,프로피테롤,320,357.5,32.99,9.92,20.64,N/A,100.29,N/A,N/A,N/A
363,빵 및 과자류,피스타치오 생크림과 산딸기 컵케이크,81.6,255.51,21.62,3.4,17.41,N/A,66.81,N/A,N/A,N/A
364,빵 및 과자류,한국식 오코노미야끼,130,263.87,39.53,15.44,3.18,N/A,115.15,N/A,N/A,N/A
365,빵 및 과자류,현미크레이프,120,259.06,56.2,7.02,0.7,N/A,41.56,N/A,N/A,N/A
366,면 및 만두류,고기완자를 곁들인 스웨덴식 국수,120,148.24,13.82,9.07,5.88,N/A,69.53,N/A,N/A,N/A
367,면 및 만두류,구슬 파스타,120,299.86,48.91,10.61,5.77,N/A,120.14,N/A,N/A,N/A
368,면 및 만두류,낙지볶음면,223.2,154.5,27.59,9.64,1.03,N/A,270.3,N/A,N/A,N/A
369,면 및 만두류,냉 쌀국수,250,246.45,36.42,16.45,3.75,N/A,304.9,N/A,N/A,N/A
370,면 및 만두류,니고랭,135,228.89,35.91,11.35,3.81,N/A,309.97,N/A,N/A,N/A
371,면 및 만두류,닭고기가 들어간 땅콩소스 스파게티,90,207.69,34.11,10.63,2.82,N/A,132.47,N/A,N/A,N/A
372,면 및 만두류,라비올리 크림소스,356.3,769.29,102.08,39.41,19.49,N/A,273.32,N/A,N/A,N/A
373,면 및 만두류,라비올리 토마토소스,392.5,339,55.93,14.48,6.44,N/A,116.61,N/A,N/A,N/A
374,면 및 만두류,미니그라탕,185,236.02,44.49,6.23,5.62,N/A,58.35,N/A,N/A,N/A
375,면 및 만두류,바지락 볶음 면,225,234.5,36.34,12.56,3.98,N/A,447.41,N/A,N/A,N/A
376,면 및 만두류,버섯 리조또,999.6,619.65,87.17,14.19,23.09,N/A,151.04,N/A,N/A,N/A
377,면 및 만두류,버섯을 넣은 가지 라자냐,132.5,136.04,14.84,8.11,5.25,N/A,243.31,N/A,N/A,N/A
378,면 및 만두류,서리태 잣국수,430.7,478.72,60.99,18.13,18.3,N/A,83.13,N/A,N/A,N/A
379,면 및 만두류,시저 샐러드,149,213.07,24.63,14.33,6.54,N/A,219.78,N/A,N/A,N/A
380,면 및 만두류,쌀국수,200,80.7,11.06,7.98,0.28,N/A,68.48,N/A,N/A,N/A
381,면 및 만두류,알록달록 시금치 당근 수제비,320,235.74,42.18,9.63,2.05,N/A,484,N/A,N/A,N/A
382,면 및 만두류,인도식 만두구이(사모사),80,155.96,20.03,7.83,4.96,N/A,212.46,N/A,N/A,N/A
383,면 및 만두류,호박 프리타타,246.1,302.19,12.28,25.74,16.73,N/A,234.98,N/A,N/A,N/A
384,면 및 만두류,호박만두,146.7,211.16,34.53,6.13,4.84,N/A,150.29,N/A,N/A,N/A
385,죽 및 스프류,감자를 곁들인 야채스튜,165,87.04,14.77,3.32,2.46,N/A,30.13,N/A,N/A,N/A
386,죽 및 스프류,검보스프,199.7,102.81,4.75,7.13,6.25,N/A,160.62,N/A,N/A,N/A
387,죽 및 스프류,검은콩 스프,219,228.13,16.75,15.31,13.12,N/A,119.27,N/A,N/A,N/A
388,죽 및 스프류,고구마 타락죽,332,362.81,37.32,7.14,21.48,N/A,160.92,N/A,N/A,N/A
389,죽 및 스프류,단호박 두부 포타주,275.6,92.66,11.96,6.53,3.83,N/A,379.42,N/A,N/A,N/A
390,죽 및 스프류,단호박 스프,200,102.08,15.98,3.08,3.86,N/A,45.7,N/A,N/A,N/A
391,죽 및 스프류,대구 크림 스튜,125,186.36,4.44,28.08,5.54,N/A,405.51,N/A,N/A,N/A
392,죽 및 스프류,대추죽,110,132.25,29.3,2.95,0.86,N/A,1.55,N/A,N/A,N/A
393,죽 및 스프류,멜론 스프,185,86.17,21.76,1.91,0.2,N/A,21.42,N/A,N/A,N/A
394,죽 및 스프류,새우살을 채운 두부 스프(미네스트로네),200,117.32,6.06,13.86,4.66,N/A,361.36,N/A,N/A,N/A
395,죽 및 스프류,송이 미역죽,150,135.75,25.6,4.24,2.44,N/A,309.16,N/A,N/A,N/A
396,죽 및 스프류,쇠고기 스튜,239.5,99.7,5.92,11.74,3.4,N/A,245.34,N/A,N/A,N/A
397,죽 및 스프류,쇠고기와 검은콩 요리,263.2,347.29,36.51,24.27,13.21,N/A,198.77,N/A,N/A,N/A
398,죽 및 스프류,시금치 배 미음,170,136.95,30.11,3.47,0.39,N/A,12.21,N/A,N/A,N/A
399,죽 및 스프류,시금치 수플레,80,91.22,4.83,5.69,5.27,N/A,104.76,N/A,N/A,N/A
400,죽 및 스프류,씨앗죽,135,197.68,27.23,5.44,7.84,N/A,20.4,N/A,N/A,N/A
401,죽 및 스프류,알파벳 스프,200,109.38,17.38,4.58,2.12,N/A,36.22,N/A,N/A,N/A
402,죽 및 스프류,완두콩 스프,230,168.7,20.82,12.42,4.81,N/A,116.75,N/A,N/A,N/A
403,죽 및 스프류,차가운 당근스프,200,84.2,13.24,2.32,3.22,N/A,56.36,N/A,N/A,N/A
404,죽 및 스프류,팥죽,380,287.09,60,11.86,0.15,N/A,8.89,N/A,N/A,N/A
405,죽 및 스프류,해산물을 곁들인 매콤한 토마토 스튜,197.2,122.28,6.76,16.31,3.49,N/A,338.34,N/A,N/A,N/A
406,죽 및 스프류,흑임자 두부 죽,160,164.14,23.55,7.04,4.77,N/A,2.14,N/A,N/A,N/A
407,국 및 탕류,굴 두부 국,151,49.51,3.43,4.82,2.85,N/A,256.68,N/A,N/A,N/A
408,국 및 탕류,도토리묵 콩국,156.3,61.22,7.39,3.88,2.2,N/A,257.5,N/A,N/A,N/A
409,국 및 탕류,된장국,166,49.38,3.52,8.3,0.32,N/A,44.92,N/A,N/A,N/A
410,국 및 탕류,미역 조랭이 떡국,455,368.64,65.98,9.28,11.01,N/A,774.18,N/A,N/A,N/A
411,국 및 탕류,배추 맑은 국,150,43.1,3.21,4.98,1.77,N/A,200.25,N/A,N/A,N/A
412,국 및 탕류,버섯 들깨탕,150,123.74,17.3,3.82,5.42,N/A,31.6,N/A,N/A,N/A
413,국 및 탕류,북어국,169.2,67.07,2.59,10.14,1.98,N/A,329.16,N/A,N/A,N/A
414,국 및 탕류,새우 완자탕,150,86.8,9.34,10,1,N/A,204.28,N/A,N/A,N/A
415,국 및 탕류,연두부 무순 냉국,200,70.52,6.32,5.92,3.1,N/A,222.7,N/A,N/A,N/A
416,찌개 및 전골류,해산물 샤브샤브,110.2,124.67,5.84,12.18,6.27,N/A,143.55,N/A,N/A,N/A
417,찜류,금태찜,240,73.8,7.58,10.92,0.7,N/A,304.37,N/A,N/A,N/A
418,찜류,단호박 두부찜,57,37.98,5.29,2.09,1.64,N/A,220.04,N/A,N/A,N/A
419,찜류,단호박 새우 찜,215,202.4,38.57,11.07,3.57,N/A,395,N/A,N/A,N/A
420,찜류,닭고기 편육,132.83,261.97,8.32,19.42,15.55,N/A,238.39,N/A,N/A,N/A
421,찜류,대하찜,125.1,109.39,2.39,20.43,1.83,N/A,177.34,N/A,N/A,N/A
422,찜류,사태떡찜,162.9,202.86,27.04,13.73,4.66,N/A,265.15,N/A,N/A,N/A
423,찜류,생선살 완자 찹쌀 찜,175,212.47,29.89,20.11,0.7,N/A,262.69,N/A,N/A,N/A
424,찜류,생선찜 채소말이,160,162.54,18.78,15.57,3.95,N/A,345.79,N/A,N/A,N/A
425,찜류,서양식 달걀찜(시금치 퀴시),140,305.61,49.97,12.33,4.69,N/A,142.02,N/A,N/A,N/A
426,찜류,쇠고기 감자찜,191,183.57,16.37,12.87,7.32,N/A,200.19,N/A,N/A,N/A
427,찜류,영양 달걀 찜,100,76.01,7.11,5.66,3,N/A,86.92,N/A,N/A,N/A
428,찜류,오징어보쌈과 저나트륨 된장소스,85.5,46.16,1.83,8.1,0.71,N/A,191.99,N/A,N/A,N/A
429,찜류,유부 달걀 찜,100,87.12,3.97,6.12,5.32,N/A,208.63,N/A,N/A,N/A
430,찜류,유부 만두 찜,105,114.17,8.56,9.2,6.09,N/A,162.94,N/A,N/A,N/A
431,찜류,찰 어묵 찜,80,102.76,11.1,9.42,2.1,N/A,396.83,N/A,N/A,N/A
432,구이류,고등어구이,98,280.63,7.24,14.71,20.33,N/A,105.93,N/A,N/A,N/A
433,구이류,꽁치 양념구이,189.5,234.89,29.3,12.68,7.39,N/A,169.64,N/A,N/A,N/A
434,구이류,닭고기 바비큐,194.4,184.12,14.41,13.32,8.83,N/A,75.49,N/A,N/A,N/A
435,구이류,등심 배구이,70.6,97.17,3.83,7.98,5.22,N/A,241.05,N/A,N/A,N/A
436,구이류,로스트비프,148.4,220.36,5.7,14.56,14.2,N/A,272.58,N/A,N/A,N/A
437,구이류,미니 떡갈비,155,144.92,13.38,14.77,4.03,N/A,307.64,N/A,N/A,N/A
438,구이류,밀라노 스타일 포크 커틀렛,89.5,228.97,7.51,13.8,15.2,N/A,98.26,N/A,N/A,N/A
439,구이류,발사믹과 로즈마리로 향을 낸 오븐구이 야채,200,135.58,34.28,1.94,0.64,N/A,51.94,N/A,N/A,N/A
440,구이류,발사믹으로 양념한 채소 요리,96.7,298.26,4.81,1.54,30.22,N/A,73.98,N/A,N/A,N/A
441,구이류,버섯소스를 곁들인 돼지 등심 스테이크,284.1,387.63,7.93,20.4,26.28,N/A,79.66,N/A,N/A,N/A
442,구이류,비프 스트로가노프,145,246.51,26.58,15.09,7.82,N/A,268.95,N/A,N/A,N/A
443,구이류,살사를 곁들인 참치 오븐구이,54.5,97.4,3.05,11.09,4.29,N/A,24.09,N/A,N/A,N/A
444,구이류,야채과일돌구이,90,71.1,18.12,1.2,0.15,N/A,5.1,N/A,N/A,N/A
445,구이류,양송이버섯과 포도주스를 가미한 등심구이,232.9,205.37,17.21,11.64,10.97,N/A,166.27,N/A,N/A,N/A
446,구이류,요거트 파슬리소스를 곁들인 닭고기구이,176.2,239.24,8.67,18.24,14.82,N/A,67.84,N/A,N/A,N/A
447,구이류,종이에 싸서 구운 도미(파필로테),99.8,104.12,2.14,13.7,4.52,N/A,50.82,N/A,N/A,N/A
448,구이류,중국식 바비큐 폭 립,170,310.68,13.41,22.85,18,N/A,352.38,N/A,N/A,N/A
449,구이류,지중해소스를 곁들인 도미스테이크,275.1,289.79,7.37,23.03,14.99,N/A,257.3,N/A,N/A,N/A
450,구이류,참깨 오렌지 쇠고기,170,182.68,9.89,21.08,6.32,N/A,269.13,N/A,N/A,N/A
451,구이류,치킨 버거 스테이크,133,127.97,9.6,21.27,0.73,N/A,89.3,N/A,N/A,N/A
452,구이류,카레소스를 얹은 두부 스테이크,256,199.32,27.88,10.11,7.42,N/A,480.77,N/A,N/A,N/A
453,구이류,케이준 스타일 닭고기 요리,118.5,313.74,5.29,20,22.33,N/A,63.91,N/A,N/A,N/A
454,구이류,토마토 야채 오븐구이,125,102.45,17.58,3.14,2.9,N/A,67.19,N/A,N/A,N/A
455,구이류,해산물 옥수수 오븐구이 프리타타,114,111.71,8.48,8.93,4.75,N/A,210.63,N/A,N/A,N/A
456,전/ 적 및 부침류,곶감샐러드,150,223.18,49.29,2.91,4.35,N/A,10.21,N/A,N/A,N/A
457,전/ 적 및 부침류,김치 참치 밥 달걀말이,150,172.58,25.78,8.7,4.84,N/A,322.72,N/A,N/A,N/A
458,전/ 적 및 부침류,낫토 시래기 라이스 전,100,137.92,23.07,6.22,2.94,N/A,162.92,N/A,N/A,N/A
459,전/ 적 및 부침류,다시마전,80,79.18,13.16,4.37,1.58,N/A,310.34,N/A,N/A,N/A
460,전/ 적 및 부침류,단호박전,120.2,310.4,46.05,6.6,10.65,N/A,77.19,N/A,N/A,N/A
461,전/ 적 및 부침류,돼지고기 찹쌀부침,158.4,343.28,48.04,13.35,10.04,N/A,120.07,N/A,N/A,N/A
462,전/ 적 및 부침류,두부 달걀전,130,179.66,4.51,13.01,12.43,N/A,164.53,N/A,N/A,N/A
463,전/ 적 및 부침류,두부 해산물 꼬치구이,148,182.16,2.58,15.6,12.89,N/A,146.15,N/A,N/A,N/A
464,전/ 적 및 부침류,마 두부 오징어전,139.9,173.21,16.76,10.59,8.8,N/A,159.09,N/A,N/A,N/A
465,전/ 적 및 부침류,청국장 시래기전,102.5,117.98,14.83,9.06,3.98,N/A,54.29,N/A,N/A,N/A
466,전/ 적 및 부침류,치킨 쇠고기 땅콩소스 꼬치,85,148.44,8.28,14.32,6.33,N/A,536.21,N/A,N/A,N/A
467,전/ 적 및 부침류,케첩완자,100,141.85,13.7,10.7,4.86,N/A,155.5,N/A,N/A,N/A
468,볶음류,가지볶음,131.5,111.21,20.07,1.71,3.66,N/A,219.18,N/A,N/A,N/A
469,볶음류,고추잡채,83.9,106.38,4.93,6.3,6.71,N/A,147.32,N/A,N/A,N/A
470,볶음류,궁중 떡볶음,150.8,203.9,38.65,6.26,3.38,N/A,233.6,N/A,N/A,N/A
471,볶음류,김자반,61.3,45.22,10.42,4.79,0.91,N/A,232.16,N/A,N/A,N/A
472,볶음류,꽃게볶음,100,108.73,10.03,10.36,2.91,N/A,317.08,N/A,N/A,N/A
473,볶음류,냉잡채,80.1,127.43,21.66,0.96,4.31,N/A,169.48,N/A,N/A,N/A
474,볶음류,돼지갈비 볶음,120,151.15,6.55,12.04,8.42,N/A,293.29,N/A,N/A,N/A
475,볶음류,돼지고기토마토두부볶음,150,157.16,7.94,9.96,9.7,N/A,293.3,N/A,N/A,N/A
476,볶음류,마파두부,183.8,268.11,9.72,18.71,17.92,N/A,164.65,N/A,N/A,N/A
477,볶음류,배추달걀볶음,140,131.14,7.32,8.44,7.48,N/A,187.8,N/A,N/A,N/A
478,볶음류,버섯 굴소스 볶음,59.2,37.96,3.34,1.49,2.71,N/A,31.93,N/A,N/A,N/A
479,볶음류,브로콜리쇠고기볶음,130,123.9,13.87,10.28,4.13,N/A,299.53,N/A,N/A,N/A
480,볶음류,산호두부,90,89.39,8.43,6.93,3.46,N/A,54.4,N/A,N/A,N/A
481,볶음류,섭산삼,86,233.03,36.96,4.68,8.24,N/A,3.83,N/A,N/A,N/A
482,볶음류,소고기 채소볶음,117.6,190.9,4.83,9.61,14.88,N/A,218.91,N/A,N/A,N/A
483,볶음류,시금치돼지고기볶음,100,104.77,7.37,9.12,4.55,N/A,283.9,N/A,N/A,N/A
484,볶음류,쌀국수 볶음면,264.8,212.53,7.79,2.62,20.42,N/A,87.75,N/A,N/A,N/A
485,볶음류,아시아식 채소 두부 볶음,203.3,275.41,20.35,13.52,17.65,N/A,178.15,N/A,N/A,N/A
486,볶음류,야채볶음,80,90.81,15.38,2.34,3.16,N/A,9.93,N/A,N/A,N/A
487,볶음류,야채오믈렛,155,158.15,26.75,6.76,2.87,N/A,250.56,N/A,N/A,N/A
488,볶음류,이태리식 닭요리,137,150.32,5.88,11.4,8.63,N/A,151.78,N/A,N/A,N/A
489,볶음류,잡채,120.1,193.14,28.74,6.13,6.41,N/A,203.97,N/A,N/A,N/A
490,볶음류,조랭이 떡 궁중 떡볶이,185,217.45,43.31,5.68,2.57,N/A,343.45,N/A,N/A,N/A
491,볶음류,칠리새우,93.7,175.99,17.31,10.78,6.91,N/A,159.36,N/A,N/A,N/A
492,볶음류,크램블레,115.2,372.61,12.74,3.35,33.52,N/A,30.79,N/A,N/A,N/A
493,볶음류,토마토소스달걀볶음,60,111.22,10.08,4.39,5.9,N/A,107.4,N/A,N/A,N/A
494,볶음류,토마토쇠고기,90,82.67,11.56,3.82,2.55,N/A,168.58,N/A,N/A,N/A
495,볶음류,팽이버섯야채볶음,130,82.58,10.86,2.55,4.37,N/A,14.1,N/A,N/A,N/A
496,볶음류,해산물볶음,117.6,119.68,6.34,10.35,6.16,N/A,293.99,N/A,N/A,N/A
497,볶음류,헝가리안 폭찹,175.5,295.7,4.23,18.64,20.99,N/A,110.83,N/A,N/A,N/A
498,볶음류,화지타,132,196.55,26.08,8.62,6.48,N/A,508.99,N/A,N/A,N/A
499,조림류,고기완두조림,100,183.01,18.9,11.37,6.97,N/A,45.19,N/A,N/A,N/A
500,조림류,곤약 콩조림,69.2,96.31,10.68,7.45,3.69,N/A,209.61,N/A,N/A,N/A
501,조림류,과일 주스 조림,230,174.29,44.96,1.61,0.62,N/A,6.6,N/A,N/A,N/A
502,조림류,다시마돼지고기조림,70,115.71,4.98,8.55,6.86,N/A,279.57,N/A,N/A,N/A
503,조림류,두부 튀김 조림,115.5,221.52,14.4,6.99,16.27,N/A,139.81,N/A,N/A,N/A
504,조림류,부추조갯살 콩비지조림,55.5,35.99,5.28,3.32,0.5,N/A,62.39,N/A,N/A,N/A
505,조림류,오징어말이 케첩조림,206.8,152.68,9.29,20.06,4.34,N/A,190.42,N/A,N/A,N/A
506,튀김류,고구마 빠스,94,253.9,39.04,1.25,11.13,N/A,9.44,N/A,N/A,N/A
507,튀김류,도라지 검은깨 튀김,56.5,134.65,23.85,2.4,3.93,N/A,163.06,N/A,N/A,N/A
508,튀김류,"레몬, 파슬리 빵가루를 입힌 도미",60,88.31,8.43,10.04,1.73,N/A,61.65,N/A,N/A,N/A
509,튀김류,멸치찹쌀 양념튀김,64.3,195.01,17.59,8.85,11.16,N/A,181.29,N/A,N/A,N/A
510,튀김류,모듬탕수,116,116.59,26.53,5.73,1,N/A,120.11,N/A,N/A,N/A
511,튀김류,삼색 콩튀김,88,251.33,36.58,5.39,10.48,N/A,34.76,N/A,N/A,N/A
512,튀김류,새우속을 채운 리치와 감자튀김,180,258.17,24.37,14.58,11.59,N/A,195.98,N/A,N/A,N/A
513,튀김류,생강향의 고구마 크로켓,88,204.53,25.25,2.31,10.96,N/A,49.25,N/A,N/A,N/A
514,튀김류,수삼당근정과,112,110.12,28.35,2.04,0.18,N/A,22.64,N/A,N/A,N/A
515,튀김류,파마산치즈를 가미한 커틀렛,116,417.86,29.13,17.02,26.38,N/A,234.02,N/A,N/A,N/A
516,튀김류,호두 치킨,125,116.88,5.92,12.08,5.24,N/A,30.78,N/A,N/A,N/A
517,튀김류,황태강정,68.9,232.32,22.77,18.92,6.55,N/A,161.82,N/A,N/A,N/A
518,생채/무침류,감자냉채,123.4,44.26,9.06,1.74,0.37,N/A,103.26,N/A,N/A,N/A
519,생채/무침류,골뱅이무침,120.1,103.85,17.5,5.19,2.41,N/A,201.88,N/A,N/A,N/A
520,생채/무침류,과일 요구르트 샐러드,150,77.3,18.12,2.64,0.39,N/A,19.76,N/A,N/A,N/A
521,생채/무침류,구운 닭고기 샐러드와 저나트륨 과일드레싱,202.8,246.4,17.22,13.02,14.46,N/A,175.08,N/A,N/A,N/A
522,생채/무침류,구운 닭고기를 곁들인 두부 샐러드,140,122.74,3.74,14.5,6.31,N/A,265.93,N/A,N/A,N/A
523,생채/무침류,낙지 잣소스 냉채,204.9,226.66,18.42,10,14.38,N/A,232.97,N/A,N/A,N/A
524,생채/무침류,니스와 샐러드,105,91.99,5.12,7.97,4.36,N/A,78.76,N/A,N/A,N/A
525,생채/무침류,닭고기 샐러드,172.6,259.49,8.54,16.57,17.4,N/A,271.43,N/A,N/A,N/A
526,생채/무침류,돼지고기 수육 부추무침,119.6,200.72,11.34,9.6,13.23,N/A,259.45,N/A,N/A,N/A
527,생채/무침류,두부 다시마말이,149.9,81.14,6.9,5.89,4.63,N/A,248.4,N/A,N/A,N/A
528,생채/무침류,두부선과 저나트륨 겨자 간장소스,138.9,121.61,5.22,12.43,6.56,N/A,211.18,N/A,N/A,N/A
529,생채/무침류,산마드레싱 실곤약 샐러드,120,96.56,7.09,7.09,4.98,N/A,35.41,N/A,N/A,N/A
530,생채/무침류,상추 겉절이,43.8,19.26,3.9,1.14,0.47,N/A,108.26,N/A,N/A,N/A
531,생채/무침류,수삼 냉채,85.5,38.37,9.49,1.23,0.25,N/A,202.15,N/A,N/A,N/A
532,생채/무침류,스테이크 샐러드,140,176.86,3.49,16.93,10.12,N/A,404.08,N/A,N/A,N/A
533,생채/무침류,아보카도 두부 샐러드,207.45,426.23,8.34,11.55,38.86,N/A,361.83,N/A,N/A,N/A
534,생채/무침류,아시아식 국수 샐러드,117,276.16,47.37,13.41,2.47,N/A,262.63,N/A,N/A,N/A
535,생채/무침류,양상추와 닭고기 요리,171.3,78.58,6.44,4.45,4.49,N/A,67.42,N/A,N/A,N/A
536,생채/무침류,얼갈이 무침,138,71.47,6.68,4.68,4.06,N/A,181.11,N/A,N/A,N/A
537,생채/무침류,연어냉채,95.01,128.92,7.41,9.57,6.75,N/A,398.32,N/A,N/A,N/A
538,생채/무침류,오이 초절임,83,194,19.27,0.85,13.6,N/A,372.92,N/A,N/A,N/A
539,생채/무침류,오이선,89.1,67.5,7.09,5.38,2.54,N/A,224.4,N/A,N/A,N/A
540,생채/무침류,이태리식 해산물 샐러드,147,127.57,3.48,17.68,4.59,N/A,225.67,N/A,N/A,N/A
541,생채/무침류,참기름 드레싱의 즉석 샐러드,72.5,76.39,6,1.36,5.52,N/A,109.91,N/A,N/A,N/A
542,생채/무침류,카프라제,89.6,159.27,3.83,7.02,13.44,N/A,7.66,N/A,N/A,N/A
543,생채/무침류,태국식 불고기 샐러드,130,88.69,8.71,8.26,3.12,N/A,241.79,N/A,N/A,N/A
544,생채/무침류,펜네 파스타 샐러드,102,212.82,34.18,7.4,4.84,N/A,71.98,N/A,N/A,N/A
545,생채/무침류,허브 마리네이드 참치 샐러드,182.1,235.82,13.91,26.62,7.78,N/A,61.28,N/A,N/A,N/A
546,생채/무침류,호두 사과 샐러드,80,109.55,13.7,1.23,6.48,N/A,30.65,N/A,N/A,N/A
547,생채/무침류,홍시 생밤 무침,100,118.3,22.4,2.05,3.7,N/A,5.75,N/A,N/A,N/A
548,김치류,깍두기,30,9.9,2.22,0.48,0.09,N/A,178.8,N/A,N/A,N/A
549,김치류,나박김치,198,39.48,9.66,2.14,0.38,N/A,195.54,N/A,N/A,N/A
550,김치류,배추김치,45,8.1,1.76,0.9,0.22,N/A,515.7,N/A,N/A,N/A
551,장아찌/절임류,양배추 깻잎 피클,64.5,15.38,3.86,0.43,0.08,N/A,337.34,N/A,N/A,N/A
552,장아찌/절임류,오이피클,20,18.4,5.06,0.12,0.06,N/A,133.4,N/A,N/A,N/A
553,유제품류 및 빙과류,복숭아샤벳,270.1,146.26,39.19,1.57,0.3,N/A,8.62,N/A,N/A,N/A
554,유제품류 및 빙과류,서양식 씨리얼(뮤즐리),105,158.6,25.76,5.25,4.76,N/A,27.14,N/A,N/A,N/A
555,유제품류 및 빙과류,식혜 팥빙수,150,135.86,33.08,3.66,0.02,N/A,5.36,N/A,N/A,N/A
556,유제품류 및 빙과류,에멘탈 치즈 퐁듀,110,108.9,10.08,6.78,4.98,N/A,105.66,N/A,N/A,N/A
557,유제품류 및 빙과류,홍시쉐이크,120,69.72,18.29,1.15,0.56,N/A,4.76,N/A,N/A,N/A
558,음료 및 차류,우유생강차,200,108,15.66,5.98,2.82,N/A,184.94,N/A,N/A,N/A
559,과일류,복숭아화채,101,72.8,16.7,1.35,1.1,N/A,1.69,N/A,N/A,N/A
560,과일류,수박화채,210,125.83,28.37,3.4,0.74,N/A,2.18,N/A,N/A,N/A
561,당류,과일 젤리,160,140.45,34.99,1.31,0.18,N/A,25.3,N/A,N/A,N/A
562,당류,두부양갱,82,66.62,11.9,2.84,1.68,N/A,2.54,N/A,N/A,N/A
563,당류,딸기잼,20,48.6,12.58,0.08,0.02,N/A,0.6,N/A,N/A,N/A
564,당류,사과잼,20,51.2,13.24,0.04,0.02,N/A,2,N/A,N/A,N/A
565,당류,사과포도주스조림,152,135.11,24.99,1.81,4.24,N/A,24.53,N/A,N/A,N/A
566,"곡류, 서류 제품",고구마경단,100,208.96,44.01,2.8,3.56,N/A,50.51,N/A,N/A,N/A
567,"곡류, 서류 제품",고구마란,92,165.97,35.59,2.82,2.76,N/A,12.69,N/A,N/A,N/A
568,"곡류, 서류 제품",고구마쑥단자,80,149.93,32.7,3.93,1.14,N/A,7.71,N/A,N/A,N/A
569,"곡류, 서류 제품",고추 장떡,103,250.36,41.24,6.86,5.8,N/A,110.68,N/A,N/A,N/A
570,"곡류, 서류 제품",김치떡,145,301.77,53.3,13.47,3.42,N/A,293.34,N/A,N/A,N/A
571,"곡류, 서류 제품",모듬옥수수,130,127.26,15,9.85,3.61,N/A,108.42,N/A,N/A,N/A
572,"채소, 해조류",닭고기 양배추 쌈,184.7,194.43,8.96,14.76,11.38,N/A,69.23,N/A,N/A,N/A
573,"채소, 해조류",참치 소고기 양상추 쌈,120,180.72,24.79,9.31,5.26,N/A,312.47,N/A,N/A,N/A
574,수조어육류,낙지강회,104.5,51.89,6.96,6.71,0.46,N/A,153.32,N/A,N/A,N/A
575,수조어육류,미역 물오징어 연두부 초회,86.8,48.2,3.88,7.05,1.23,N/A,170.69,N/A,N/A,N/A
576,수조어육류,어린이 스시,180,135.04,11.47,6.71,6.39,N/A,199.87,N/A,N/A,N/A
